,;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;369;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570,;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;482;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246
,;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;539;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507,;472;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;170;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566
,;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;584;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407,;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;356;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387
,;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;655;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570,;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;427;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629
,;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;369;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400,;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;382;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558
,;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;439;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641,;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;311;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395
,;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;394;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570,;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;598;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566
,;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;324;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407,;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;527;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324
,;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;610;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578,;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;572;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395
,;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;539;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337,;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;643;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;356;324;311;324;356;387;401;387;382;395;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558
